base_currency,quote_currency,start_time,open_time,close_time,open_bid,open_ask,open_midpoint,close_bid,close_ask,close_midpoint,average_bid,average_ask,average_midpoint,high_bid,high_ask,high_midpoint,low_bid,low_ask,low_midpoint
USD,GBP,2020-12-24T00:00:00+00:00,2020-12-24T00:00:00+00:00,2020-12-24T23:59:59+00:00,0.745520,0.745520,0.745520,0.736447,0.736447,0.736447,0.736447,0.736447,0.736447,,,,,,
USD,GBP,2020-12-25T00:00:00+00:00,2020-12-25T00:00:00+00:00,2020-12-25T23:59:59+00:00,0.736447,0.736447,0.736447,0.736447,0.736447,0.736447,0.736447,0.736447,0.736447,,,,,,
USD,GBP,2020-12-26T00:00:00+00:00,2020-12-26T00:00:00+00:00,2020-12-26T23:59:59+00:00,0.736447,0.736447,0.736447,0.736447,0.736447,0.736447,0.736447,0.736447,0.736447,,,,,,
USD,GBP,2020-12-27T00:00:00+00:00,2020-12-27T00:00:00+00:00,2020-12-27T23:59:59+00:00,0.736447,0.736447,0.736447,0.736447,0.736447,0.736447,0.736447,0.736447,0.736447,,,,,,
USD,GBP,2020-12-28T00:00:00+00:00,2020-12-28T00:00:00+00:00,2020-12-28T23:59:59+00:00,0.736447,0.736447,0.736447,0.739897,0.739897,0.739897,0.739897,0.739897,0.739897,,,,,,
USD,GBP,2020-12-29T00:00:00+00:00,2020-12-29T00:00:00+00:00,2020-12-29T23:59:59+00:00,0.739897,0.739897,0.739897,0.741194,0.741194,0.741194,0.741194,0.741194,0.741194,,,,,,
USD,GBP,2020-12-30T00:00:00+00:00,2020-12-30T00:00:00+00:00,2020-12-30T23:59:59+00:00,0.741194,0.741194,0.741194,0.735339,0.735339,0.735339,0.735339,0.735339,0.735339,,,,,,
USD,GBP,2020-12-31T00:00:00+00:00,2020-12-31T00:00:00+00:00,2020-12-31T23:59:59+00:00,0.735339,0.735339,0.735339,0.732646,0.732646,0.732646,0.732646,0.732646,0.732646,,,,,,
USD,GBP,2021-01-01T00:00:00+00:00,2021-01-01T00:00:00+00:00,2021-01-01T23:59:59+00:00,0.732646,0.732646,0.732646,0.732646,0.732646,0.732646,0.732646,0.732646,0.732646,,,,,,
USD,GBP,2021-01-02T00:00:00+00:00,2021-01-02T00:00:00+00:00,2021-01-02T23:59:59+00:00,0.732646,0.732646,0.732646,0.732646,0.732646,0.732646,0.732646,0.732646,0.732646,,,,,,
USD,JPY,2020-12-03T00:00:00+00:00,2020-12-03T00:00:00+00:00,2020-12-03T23:59:59+00:00,104.533,104.533,104.533,104.098,104.098,104.098,104.098,104.098,104.098,,,,,,
USD,JPY,2020-12-04T00:00:00+00:00,2020-12-04T00:00:00+00:00,2020-12-04T23:59:59+00:00,104.098,104.098,104.098,103.989,103.989,103.989,103.989,103.989,103.989,,,,,,
USD,JPY,2020-12-05T00:00:00+00:00,2020-12-05T00:00:00+00:00,2020-12-05T23:59:59+00:00,103.989,103.989,103.989,103.989,103.989,103.989,103.989,103.989,103.989,,,,,,
USD,JPY,2020-12-06T00:00:00+00:00,2020-12-06T00:00:00+00:00,2020-12-06T23:59:59+00:00,103.989,103.989,103.989,103.989,103.989,103.989,103.989,103.989,103.989,,,,,,
USD,JPY,2020-12-07T00:00:00+00:00,2020-12-07T00:00:00+00:00,2020-12-07T23:59:59+00:00,103.989,103.989,103.989,104.139,104.139,104.139,104.139,104.139,104.139,,,,,,
USD,JPY,2020-12-08T00:00:00+00:00,2020-12-08T00:00:00+00:00,2020-12-08T23:59:59+00:00,104.139,104.139,104.139,104.160,104.160,104.160,104.160,104.160,104.160,,,,,,
USD,JPY,2020-12-09T00:00:00+00:00,2020-12-09T00:00:00+00:00,2020-12-09T23:59:59+00:00,104.160,104.160,104.160,104.096,104.096,104.096,104.096,104.096,104.096,,,,,,
USD,JPY,2020-12-10T00:00:00+00:00,2020-12-10T00:00:00+00:00,2020-12-10T23:59:59+00:00,104.096,104.096,104.096,104.441,104.441,104.441,104.441,104.441,104.441,,,,,,
USD,JPY,2020-12-11T00:00:00+00:00,2020-12-11T00:00:00+00:00,2020-12-11T23:59:59+00:00,104.441,104.441,104.441,104.131,104.131,104.131,104.131,104.131,104.131,,,,,,
USD,JPY,2020-12-12T00:00:00+00:00,2020-12-12T00:00:00+00:00,2020-12-12T23:59:59+00:00,104.131,104.131,104.131,104.131,104.131,104.131,104.131,104.131,104.131,,,,,,
USD,JPY,2020-12-13T00:00:00+00:00,2020-12-13T00:00:00+00:00,2020-12-13T23:59:59+00:00,104.131,104.131,104.131,104.131,104.131,104.131,104.131,104.131,104.131,,,,,,
USD,JPY,2020-12-14T00:00:00+00:00,2020-12-14T00:00:00+00:00,2020-12-14T23:59:59+00:00,104.131,104.131,104.131,103.692,103.692,103.692,103.692,103.692,103.692,,,,,,
USD,JPY,2020-12-15T00:00:00+00:00,2020-12-15T00:00:00+00:00,2020-12-15T23:59:59+00:00,103.692,103.692,103.692,103.855,103.855,103.855,103.855,103.855,103.855,,,,,,
USD,JPY,2020-12-16T00:00:00+00:00,2020-12-16T00:00:00+00:00,2020-12-16T23:59:59+00:00,103.855,103.855,103.855,103.347,103.347,103.347,103.347,103.347,103.347,,,,,,
USD,JPY,2020-12-17T00:00:00+00:00,2020-12-17T00:00:00+00:00,2020-12-17T23:59:59+00:00,103.347,103.347,103.347,103.046,103.046,103.046,103.046,103.046,103.046,,,,,,
USD,JPY,2020-12-18T00:00:00+00:00,2020-12-18T00:00:00+00:00,2020-12-18T23:59:59+00:00,103.046,103.046,103.046,103.344,103.344,103.344,103.344,103.344,103.344,,,,,,
USD,JPY,2020-12-19T00:00:00+00:00,2020-12-19T00:00:00+00:00,2020-12-19T23:59:59+00:00,103.344,103.344,103.344,103.344,103.344,103.344,103.344,103.344,103.344,,,,,,
USD,JPY,2020-12-20T00:00:00+00:00,2020-12-20T00:00:00+00:00,2020-12-20T23:59:59+00:00,103.344,103.344,103.344,103.344,103.344,103.344,103.344,103.344,103.344,,,,,,
USD,JPY,2020-12-21T00:00:00+00:00,2020-12-21T00:00:00+00:00,2020-12-21T23:59:59+00:00,103.344,103.344,103.344,103.541,103.541,103.541,103.541,103.541,103.541,,,,,,
USD,JPY,2020-12-22T00:00:00+00:00,2020-12-22T00:00:00+00:00,2020-12-22T23:59:59+00:00,103.541,103.541,103.541,103.374,103.374,103.374,103.374,103.374,103.374,,,,,,
USD,JPY,2020-12-23T00:00:00+00:00,2020-12-23T00:00:00+00:00,2020-12-23T23:59:59+00:00,103.374,103.374,103.374,103.559,103.559,103.559,103.559,103.559,103.559,,,,,,
USD,JPY,2020-12-24T00:00:00+00:00,2020-12-24T00:00:00+00:00,2020-12-24T23:59:59+00:00,103.559,103.559,103.559,103.650,103.650,103.650,103.650,103.650,103.650,,,,,,
